gbifID	verbatimScientificName	decimalLatitude	decimalLongitude			stateProvince	county	municipality	locality
3306351736	Amazona oratrix					Campeche	PALIZADA		"1 km al NE de San Román, 4.7 km al NO de La Loma, sobre carretera Santa Adelaida-Palizada"
3306351733	Amazona oratrix					Campeche	CARMEN		"Camino Palizada, 5.2 km al SE de Atasta, sobre la carretera federal Ciudad del Carmen-Villahermosa"
3306351655	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306351436	Amazona oratrix					Campeche	PALIZADA		"1 km al NE de San Román, 4.7 km al NO de La Loma, sobre carretera Santa Adelaida-Palizada"
3306351331	Amazona oratrix					Campeche	CARMEN		"Rancho San Francisco, 3.7 km al NO de Sabancuy, sobre la carretera Champotón-Ciudad del Carmen"
3306351190	Amazona oratrix					Campeche	CARMEN		"Camino Palizada, 5.2 km al SE de Atasta, sobre la carretera federal Ciudad del Carmen-Villahermosa"
3306351129	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306350962	Amazona oratrix					Campeche	PALIZADA		"1 km al NE de San Román, 4.7 km al NO de La Loma, sobre carretera Santa Adelaida-Palizada"
3306350951	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306350841	Amazona oratrix					Campeche	PALIZADA		"1 km al NE de San Román, 4.7 km al NO de La Loma, sobre carretera Santa Adelaida-Palizada"
3306350792	Amazona oratrix					Campeche	PALIZADA		"La Toza, 661 m al O de El Borbotón, 3.6 km al S del Paraíso, carretera Palizada-Jonuta"
3306350621	Amazona oratrix					Campeche	PALIZADA		"Las Bodegas, 4.5 km al NE de El Mangal, 1.76 km al O de Las Bodegas, al borde del Río Palizada"
3306350435	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306350420	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306350390	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306350336	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306350311	Amazona oratrix					Campeche	CARMEN		"Camino Palizada, 5.2 km al SE de Atasta, sobre la carretera federal Ciudad del Carmen-Villahermosa"
3306244830	Amazona oratrix	20.141111	-101.165833			Guanajuato	URIANGATO		"Uriangato, 2 km E"
3118243482	Amazona oratrix	17.757994	-88.550262			Belize			
3079763303	Amazona oratrix	19.385589	-96.467125			Veracruz			
3079690303	Amazona oratrix	19.314469	-96.555125			Veracruz			
3079631304	Amazona oratrix	19.347976	-96.518156			Veracruz			
3039460794	Amazona oratrix tresmariae	21.67627	-106.651494			Nayarit			
2634613035	Amazona oratrix	18.3589	-95.361301			Veracruz			
2630717339	Amazona oratrix	22.6	-100.683333			San luis potosi			El Salto
2630716306	Amazona oratrix	19.201667	-104.685			Jalisco			"BARRA DE NAVIDAD, 13 KM N"
2630707540	Amazona oratrix	23.783333	-97.766667			Tamaulipas			LA PESCA
2630697276	Amazona oratrix	17.858333	-91.996667			Chiapas			"EL CUYO, N DE CATAZAJA, (A LO LARGO DEL CAMINO)"
2629798606	Amazona oratrix	22.278611	-98.895278			San luis potosi	CIUDAD VALLES		Rancho La Hormiga 1
2629797434	Amazona oratrix	22.227222	-98.951667			San luis potosi	CIUDAD VALLES		2043 m al Estenoreste del Centro de Cultura para la Conservación
2629796788	Amazona oratrix	22.271389	-98.951667			San luis potosi	CIUDAD VALLES		6000 m al Este de entrada Las Yeguas
2629796006	Amazona oratrix	22.278611	-98.894722			San luis potosi	CIUDAD VALLES		Rancho La Hormiga 2
2629795719	Amazona oratrix	22.271111	-98.953055			San luis potosi	CIUDAD VALLES		6066 m al Nornordeste del Centro para la Cultura de la Conservación
